gt_id,report_id,metric_id,industry,sub_industry,gt_disclosure_status,gt_value,gt_page
gt_000037,897a33de-edbe-45aa-a425-31297df747c4,sasb_16_Number_of_departures,Transportation,Airlines,not_disclosed,,
gt_000038,897a33de-edbe-45aa-a425-31297df747c4,sasb_17_Average_age_of_fleet,Transportation,Airlines,fully_disclosed,14.6,89
gt_000039,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_0_Gross_global_Scope_1_emissions,Transportation,Marine Transportation,not_disclosed,,
gt_000040,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_1_Discussion_of_long-_and_short-term_strategy_or_pla,Transportation,Marine Transportation,partially_disclosed,,2
gt_000041,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_2_1_Total_energy_consumed,Transportation,Marine Transportation,fully_disclosed,116526,48
gt_000042,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_3_2_Percentage_heavy_fuel_oil_of_total_energy_cons,Transportation,Marine Transportation,not_disclosed,,
gt_000043,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_4_3_Percentage_renewable_of_total_energy_consumed,Transportation,Marine Transportation,fully_disclosed,2,48
gt_000044,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_5_Average_Energy_Efficiency_Design_Index_EEDI_for_,Transportation,Marine Transportation,not_disclosed,,
gt_000045,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_6_Air_emissions_of_the_following_pollutants:_1_NOx,Transportation,Marine Transportation,fully_disclosed,672000,29
gt_000046,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_7_Air_emissions_of_the_following_pollutants:_2Sox,Transportation,Marine Transportation,fully_disclosed,90000,29
gt_000047,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_8_Air_emissions_of_the_following_pollutants:3_part,Transportation,Marine Transportation,fully_disclosed,49000,29
gt_000048,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_9_Shipping_duration_in_marine_protected_areas_or_are,Transportation,Marine Transportation,not_disclosed,,
gt_000049,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_10_Percentage_of_fleet_implementing_ballast_water_1,Transportation,Marine Transportation,not_disclosed,,
gt_000050,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_11_Percentage_of_fleet_implementing_ballast_water_2,Transportation,Marine Transportation,fully_disclosed,93,29
gt_000051,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_12_1_Number_of_spills_and_releases_to_the_environme,Transportation,Marine Transportation,not_disclosed,,
gt_000052,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_13_2_Aggregate_volume_of_spills_and_releases_to_the,Transportation,Marine Transportation,not_disclosed,,
gt_000053,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_14_Lost_time_incident_rate_LTIR,Transportation,Marine Transportation,fully_disclosed,1.11,50
gt_000054,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_15_Number_of_calls_at_ports_in_countries_that_have_th,Transportation,Marine Transportation,not_disclosed,,
gt_000055,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_16_Total_amount_of_monetary_losses_as_a_result_of_leg,Transportation,Marine Transportation,not_disclosed,,
gt_000056,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_17_1_Number_of_marine_casualties,Transportation,Marine Transportation,not_disclosed,,
gt_000057,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_18_2_Percentage_classified_as_very_serious_of_total,Transportation,Marine Transportation,not_disclosed,,
gt_000058,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_19_Number_of_Conditions_of_Class_or_Recommendations,Transportation,Marine Transportation,not_disclosed,,
gt_000059,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_20_Number_of_port_state_control_1_deficiencies,Transportation,Marine Transportation,not_disclosed,,
gt_000060,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_21_Number_of_port_state_control_2_detentions,Transportation,Marine Transportation,not_disclosed,,
gt_000061,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_22_Number_of_shipboard_employees3,Transportation,Marine Transportation,not_disclosed,,
gt_000062,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_23_Total_distance_travelled_by_vessels,Transportation,Marine Transportation,not_disclosed,,
gt_000063,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_24_Operating_days,Transportation,Marine Transportation,not_disclosed,,
gt_000064,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_25_Deadweight_tonnage,Transportation,Marine Transportation,not_disclosed,,
gt_000065,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_26_Number_of_vessels_in_total_shipping_fleet,Transportation,Marine Transportation,not_disclosed,,
gt_000066,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_27_Number_of_vessel_port_calls,Transportation,Marine Transportation,not_disclosed,,
gt_000067,307280f5-f615-4b1a-ae47-c0f04eb55bf6,sasb_28_Twenty-foot_equivalent_unit_TEU_capacity,Transportation,Marine Transportation,not_disclosed,,
gt_000068,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_0_Description_of_approach_to_identifying_and_address,Technology & Communications,Hardware,partially_disclosed,,39
gt_000069,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_1_Percentage_of_1_gender_and_2_diversity_group_r,Technology & Communications,Hardware,not_disclosed,,
gt_000070,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_2_Percentage_of_products_by_revenue_that_contain_IEC,Technology & Communications,Hardware,not_disclosed,,
gt_000071,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_3_Processor_energy_efficiency_at_a_system-level_for_,Technology & Communications,Hardware,not_disclosed,,
gt_000072,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_4_Processor_energy_efficiency_at_a_system-level_for_,Technology & Communications,Hardware,not_disclosed,,
gt_000073,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_5_Processor_energy_efficiency_at_a_system-level_for_,Technology & Communications,Hardware,not_disclosed,,
gt_000074,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_6_Percentage_of_Tier_1_supplier_facilities_audited_i,Technology & Communications,Hardware,not_disclosed,,
gt_000075,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_7_Tier_1_suppliers’_1_non_-_conformance_rate_with_,Technology & Communications,Hardware,not_disclosed,,
gt_000076,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_8_Description_of_the_management_of_risks_associated_,Technology & Communications,Hardware,partially_disclosed,,19
gt_000077,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_9_Number_of_units_produced_by_product_category,Technology & Communications,Hardware,not_disclosed,,
gt_000078,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_10_Area_of_manufacturing_facilities,Technology & Communications,Hardware,not_disclosed,,
gt_000079,848186d8-7a5e-42ce-b587-698c5e71533f,sasb_11_Percentage_of_production_from_owned_facilities,Technology & Communications,Hardware,not_disclosed,,
gt_000080,f25a601b-2967-4668-8345-15d9e7555cab,sasb_0_1_Total_energy_consumed,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000081,f25a601b-2967-4668-8345-15d9e7555cab,sasb_1_2_percentage_grid_electricity,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000082,f25a601b-2967-4668-8345-15d9e7555cab,sasb_2_3_percentage_renewable,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000083,f25a601b-2967-4668-8345-15d9e7555cab,sasb_3_1_Total_water_withdrawn,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000084,f25a601b-2967-4668-8345-15d9e7555cab,sasb_4_2_total_water_consumed,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000085,f25a601b-2967-4668-8345-15d9e7555cab,sasb_5_3_percentage_of_each_in_regions_with_High_or_Ext,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000086,f25a601b-2967-4668-8345-15d9e7555cab,sasb_6_Discussion_of_the_integration_of_environmental_con,Technology & Communications,Software & IT Services,partially_disclosed,,15
gt_000087,f25a601b-2967-4668-8345-15d9e7555cab,sasb_7_Description_of_policies_and_practices_relating_to_,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000088,f25a601b-2967-4668-8345-15d9e7555cab,sasb_8_Number_of_users_whose_information_is_used_for_seco,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000089,f25a601b-2967-4668-8345-15d9e7555cab,sasb_9_Total_amount_of_monetary_losses_as_a_result_of_leg,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000090,f25a601b-2967-4668-8345-15d9e7555cab,sasb_10_1_Number_of_law_enforcement_requests_for_user_in,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000091,f25a601b-2967-4668-8345-15d9e7555cab,sasb_11_2_number_of_users_whose_information_was_requeste,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000092,f25a601b-2967-4668-8345-15d9e7555cab,sasb_12__3_percentage_resulting_in_disclosure,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000093,f25a601b-2967-4668-8345-15d9e7555cab,sasb_13_List_of_countries_where_core_products_or_services_,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000094,f25a601b-2967-4668-8345-15d9e7555cab,sasb_14_1_Number_of_data_breaches,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000095,f25a601b-2967-4668-8345-15d9e7555cab,sasb_15_2_percentage_that_are_personal_data_breaches,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000096,f25a601b-2967-4668-8345-15d9e7555cab,sasb_16_3_number_of_users_affected,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000097,f25a601b-2967-4668-8345-15d9e7555cab,sasb_17_Description_of_approach_to_identifying_and_address,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000098,f25a601b-2967-4668-8345-15d9e7555cab,sasb_18_Percentage_of_employees_that_require_a_work_visa,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000099,f25a601b-2967-4668-8345-15d9e7555cab,sasb_19_Employee_engagement_as_a_percentage,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000100,f25a601b-2967-4668-8345-15d9e7555cab,sasb_20_Percentage_of_1_gender,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000101,f25a601b-2967-4668-8345-15d9e7555cab,sasb_21_Percentage_of_2_diversity_group_representation_f,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000102,f25a601b-2967-4668-8345-15d9e7555cab,sasb_22_Percentage_of_2_diversity_group_representation_f,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000103,f25a601b-2967-4668-8345-15d9e7555cab,sasb_23_Percentage_of_2_diversity_group_representation_f,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000104,f25a601b-2967-4668-8345-15d9e7555cab,sasb_24_Percentage_of_2_diversity_group_representation_f,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000105,f25a601b-2967-4668-8345-15d9e7555cab,sasb_25_Total_amount_of_monetary_losses_as_a_result_of_leg,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000106,f25a601b-2967-4668-8345-15d9e7555cab,sasb_26_Number_of_1_performance_issues_,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000107,f25a601b-2967-4668-8345-15d9e7555cab,sasb_27_2_service_disruptions,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000108,f25a601b-2967-4668-8345-15d9e7555cab,sasb_28_3_total_customer_downtime,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000109,f25a601b-2967-4668-8345-15d9e7555cab,sasb_29_Description_of_business_continuity_risks_related_t,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000110,f25a601b-2967-4668-8345-15d9e7555cab,sasb_30_1_Number_of_licences_or_subscriptions,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000111,f25a601b-2967-4668-8345-15d9e7555cab,sasb_31_2_percentage_cloud-based,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000112,f25a601b-2967-4668-8345-15d9e7555cab,sasb_32_1_Data_processing_capacity,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000113,f25a601b-2967-4668-8345-15d9e7555cab,sasb_33_2_percentage_outsourced,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000114,f25a601b-2967-4668-8345-15d9e7555cab,sasb_34_1_Amount_of_data_storage,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000115,f25a601b-2967-4668-8345-15d9e7555cab,sasb_35_2_percentage_outsourced,Technology & Communications,Software & IT Services,not_disclosed,,
gt_000116,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_0_Description_of_approach_to_identifying_and_address,Services,Professional & Commercial Services,not_disclosed,,
gt_000117,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_1_Description_of_policies_and_practices_relating_to_,Services,Professional & Commercial Services,not_disclosed,,
gt_000118,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_2_1_Number_of_data_breaches,Services,Professional & Commercial Services,not_disclosed,,
gt_000119,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_3_2_Percentage_data_breaches_a_involve_customers,Services,Professional & Commercial Services,not_disclosed,,
gt_000120,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_4_2_Percentage_data_breaches_b_are_personal_data,Services,Professional & Commercial Services,not_disclosed,,
gt_000121,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_5_3_Number_of_a_customers_affected_by_data_breac,Services,Professional & Commercial Services,not_disclosed,,
gt_000122,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_6_3_Number_of_b_individuals_affected_by_data_bre,Services,Professional & Commercial Services,not_disclosed,,
gt_000123,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_7_Percentage_of_1_gender_representation_for_a_ex,Services,Professional & Commercial Services,not_disclosed,,
gt_000124,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_8_Percentage_of_1_gender_representation_for_b_no,Services,Professional & Commercial Services,not_disclosed,,
gt_000125,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_9_Percentage_of_1_gender_representation_for_c_al,Services,Professional & Commercial Services,not_disclosed,,
gt_000126,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_10_Percentage_of_2_diversity_group_representation_f,Services,Professional & Commercial Services,not_disclosed,,
gt_000127,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_11_Percentage_of_2_diversity_group_representation_f,Services,Professional & Commercial Services,not_disclosed,,
gt_000128,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_12_Percentage_of_2_diversity_group_representation_f,Services,Professional & Commercial Services,not_disclosed,,
gt_000129,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_13_1_Voluntary_turnover_rate_for_employees,Services,Professional & Commercial Services,not_disclosed,,
gt_000130,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_14_2_Involuntary_turnover_rate_for_employees,Services,Professional & Commercial Services,not_disclosed,,
gt_000131,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_15_Employee_engagement_as_a_percentage,Services,Professional & Commercial Services,not_disclosed,,
gt_000132,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_16_Description_of_approach_to_ensuring_professional_i,Services,Professional & Commercial Services,not_disclosed,,
gt_000133,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_17_Total_amount_of_monetary_losses_as_a_result_of_leg,Services,Professional & Commercial Services,not_disclosed,,
gt_000134,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_18_Number_of_employees_by:_1_full-time_and_part-tim,Services,Professional & Commercial Services,not_disclosed,,
gt_000135,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_19_Number_of_employees_by:_2_temporary,Services,Professional & Commercial Services,not_disclosed,,
gt_000136,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_20_Number_of_employees_by:_3_contract,Services,Professional & Commercial Services,not_disclosed,,
gt_000137,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,sasb_21_Employee_hours_worked_percentage_billable,Services,Professional & Commercial Services,not_disclosed,,
gt_000138,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_0_Description_of_approach_to_identifying_and_address,Services,Professional & Commercial Services,not_disclosed,,
gt_000139,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_1_Description_of_policies_and_practices_relating_to_,Services,Professional & Commercial Services,not_disclosed,,
gt_000140,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_2_1_Number_of_data_breaches,Services,Professional & Commercial Services,not_disclosed,,
gt_000141,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_3_2_Percentage_data_breaches_a_involve_customers,Services,Professional & Commercial Services,not_disclosed,,
gt_000142,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_4_2_Percentage_data_breaches_b_are_personal_data,Services,Professional & Commercial Services,not_disclosed,,
gt_000143,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_5_3_Number_of_a_customers_affected_by_data_breac,Services,Professional & Commercial Services,not_disclosed,,
gt_000144,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_6_3_Number_of_b_individuals_affected_by_data_bre,Services,Professional & Commercial Services,not_disclosed,,
gt_000145,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_7_Percentage_of_1_gender_representation_for_a_ex,Services,Professional & Commercial Services,not_disclosed,,
gt_000146,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_8_Percentage_of_1_gender_representation_for_b_no,Services,Professional & Commercial Services,not_disclosed,,
gt_000147,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_9_Percentage_of_1_gender_representation_for_c_al,Services,Professional & Commercial Services,not_disclosed,,
gt_000148,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_10_Percentage_of_2_diversity_group_representation_f,Services,Professional & Commercial Services,not_disclosed,,
gt_000149,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_11_Percentage_of_2_diversity_group_representation_f,Services,Professional & Commercial Services,not_disclosed,,
gt_000150,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_12_Percentage_of_2_diversity_group_representation_f,Services,Professional & Commercial Services,not_disclosed,,
gt_000151,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_13_1_Voluntary_turnover_rate_for_employees,Services,Professional & Commercial Services,not_disclosed,,
gt_000152,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_14_2_Involuntary_turnover_rate_for_employees,Services,Professional & Commercial Services,not_disclosed,,
gt_000153,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_15_Employee_engagement_as_a_percentage,Services,Professional & Commercial Services,not_disclosed,,
gt_000154,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_16_Description_of_approach_to_ensuring_professional_i,Services,Professional & Commercial Services,partially_disclosed,,5
gt_000155,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_17_Total_amount_of_monetary_losses_as_a_result_of_leg,Services,Professional & Commercial Services,not_disclosed,,
gt_000156,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_18_Number_of_employees_by:_1_full-time_and_part-tim,Services,Professional & Commercial Services,not_disclosed,,
gt_000157,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_19_Number_of_employees_by:_2_temporary,Services,Professional & Commercial Services,not_disclosed,,
gt_000158,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_20_Number_of_employees_by:_3_contract,Services,Professional & Commercial Services,not_disclosed,,
gt_000159,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,sasb_21_Employee_hours_worked_percentage_billable,Services,Professional & Commercial Services,not_disclosed,,
gt_000160,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_0_Description_of_approach_to_identifying_and_address,Technology & Communications,Hardware,partially_disclosed,,69
gt_000161,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_1_Percentage_of_1_gender_and_2_diversity_group_r,Technology & Communications,Hardware,fully_disclosed,40 25,52
gt_000162,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_2_Percentage_of_products_by_revenue_that_contain_IEC,Technology & Communications,Hardware,not_disclosed,,
gt_000163,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_3_Processor_energy_efficiency_at_a_system-level_for_,Technology & Communications,Hardware,not_disclosed,,
gt_000164,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_4_Processor_energy_efficiency_at_a_system-level_for_,Technology & Communications,Hardware,not_disclosed,,
gt_000165,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_5_Processor_energy_efficiency_at_a_system-level_for_,Technology & Communications,Hardware,not_disclosed,,
gt_000166,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_6_Percentage_of_Tier_1_supplier_facilities_audited_i,Technology & Communications,Hardware,not_disclosed,,
gt_000167,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_7_Tier_1_suppliers’_1_non_-_conformance_rate_with_,Technology & Communications,Hardware,not_disclosed,,
gt_000168,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_8_Description_of_the_management_of_risks_associated_,Technology & Communications,Hardware,partially_disclosed,,57
gt_000169,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_9_Number_of_units_produced_by_product_category,Technology & Communications,Hardware,not_disclosed,,
gt_000170,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_10_Area_of_manufacturing_facilities,Technology & Communications,Hardware,not_disclosed,,
gt_000171,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,sasb_11_Percentage_of_production_from_owned_facilities,Technology & Communications,Hardware,not_disclosed,,
